#tail	head
POLA2	MCM6
POLA2	RAC1
SLC26A3	SLCO1B1
SLC26A3	CLCN6
RAC1	PKM
RAC1	TIAM1
RAC1	EREG
RAC1	AXL
RAC1	AGAP2
RAC1	IGLV3-27
TIAM1	RHOD
TIAM1	NF1
TIAM1	CDC25B
CDK5	PPARG
CDK5	AGAP2
CDK5	CDC25B
CDK5	TLN1
CDK5	DPYSL2
HOXA9	OTOP2
HOXA9	SP1
HOXA9	HIST2H4A
HOXA9	NF1
HOXA9	SMAD2
TLN1	SP1
TLN1	CLCN6
PPP6R1	AGO1
PPP6R1	CHRM3
AGO1	HIST2H4A
AGO1	SP1
SP1	ATP2A2
SP1	NF1
SP1	LMO2
SP1	SLCO1B1
SP1	ALK
SP1	DPYSL2
SP1	AGAP2
SP1	CPT1A
SP1	PKM
SP1	CDC25B
SP1	HADH
SP1	TRIM14
SP1	PPARG
SP1	AXL
SP1	SMAD2
SP1	AGPAT1
SLCO1B1	SMAD2
SLCO1B1	CHRM3
SLCO1B1	PPARG
SLCO1B1	PKM
CDC25B	SFN
CDC25B	ALK
CDC25B	LTK
CDC25B	NF1
CDC25B	AXL
CPT1A	AGPAT1
CPT1A	ACAA1
RHOD	SMAD2
EREG	IGLV3-27
DUSP12	AXL
DUSP12	LTK
DUSP12	ALK
TRIM14	MCM6
TRIM14	DPYSL2
TRIM14	ATP2A2
ATP2A2	SLN
ATP2A2	ZNF746
HIST2H4A	PPARG
HIST2H4A	MCM6
HIST2H4A	PKM
DPYSL2	PPARG
DPYSL2	PKM
SFN	FAM53B
PKM	ZNF746
PKM	ACAA1
PKM	ALK
PKM	PPARG
PKM	LTK
PPARG	ACAA1
PPARG	ALK
PPARG	SMAD2
PPARG	NF1
LMO2	SMAD2
LMO2	AGAP2
LMO2	OTOP2
AGPAT1	ACAA1
AGPAT1	NF1
SLN	SYNE4
SYNE4	RPS6KA6
MCCC1	ZNF746
MCCC1	HADH
LTK	ALK
HADH	ACAA1
AGAP2	NF1
NF1	ALK
NF1	FAM53B
ZNF746	RPS6KA6
IGLV3-27	AXL
