#tail	head
FOXL1	LDOC1
FOXL1	NUP107
ESRRA	NRIP1
ESRRA	AGT
ESRRA	UNC50
ESRRA	CYC1
AHSA1	H2AFV
AHSA1	CLTCL1
AHSA1	ZNF746
PYGB	ATP6V0A2
MED1	AGT
MED1	CGB5
MED1	RORB
MED1	FSHB
ITPA	ATP6V0A2
ITPA	HADH
CGB5	CYC1
CGB5	FSHB
CGB5	SLC25A1
CGB5	EGR2
CGB5	IGF1
CGB5	HADH
CGB5	AGT
LHX3	RORB
GSDMD	CASP4
AURKB	DNAJC6
AURKB	MFHAS1
PPP2R1A	DYNC1LI2
PPP2R1A	CLTCL1
DYNC1LI2	NUP107
DYNC1LI2	NR3C2
FSHB	XBP1
FSHB	HADH
FSHB	AGT
FSHB	NRIP1
FSHB	SLC25A1
FSHB	CYC1
FSHB	NR3C2
CCDC43	MFHAS1
SLC25A1	ZNF746
SLC25A1	IGF1
CENPI	H2AFV
CENPI	NUP107
H2AFV	NUP107
NRIP1	IGF1
NRIP1	LDOC1
NRIP1	NR3C2
EPHB2	CLTCL1
NMNAT2	CRYL1
NMNAT2	HADH
NMNAT2	XBP1
NR3C2	AGT
AGT	XBP1
EPHB6	EFNB1
