#tail	head
ANAPC2	MYB
EZH1	EED
PPP1R3F	DYRK1A
SUMO2	HSPA1B
SUMO2	TPR
SUMO2	HIST1H2BJ
SUMO2	RPS27A
SUMO2	PGR
HIST1H3C	LRRK2
HIST1H3C	KMT2D
HIST1H3C	FOS
HIST1H3C	DYNC1H1
HIST1H3C	ASH1L
HIST1H3C	HIST1H2BH
HIST1H3C	HIST1H2BJ
MAT2A	MYB
ADRA2A	S100A8
AKR1C3	KMT2D
AKR1C3	CYBA
AKR1C3	FOS
AKR1C3	PGR
AKR1C3	QDPR
ERLIN2	RPS27A
ERLIN2	BLNK
ERLIN2	MAF
EED	CCT2
CGB5	FOS
CGB5	AGR2
RIT1	NFE2
AURKB	NDEL1
AURKB	HIST1H2BJ
AURKB	TPR
AURKB	CCT2
RPS27A	PFKFB3
RPS27A	ASB12
FGF17	BLNK
FGF17	GNG5
HSPA1B	PGR
HSPA1B	S100A8
HSPA1B	DYNC1H1
PGR	DYNC1H1
NFE2	DYNC1H1
NFE2	PSMD7
GNG5	BLNK
GNG5	IGKV2-28
GNG5	TAAR3P
LRRK2	DYNC1H1
HIST1H2BJ	FOS
HIST1H2BJ	APBB1
HIST1H2BJ	WDR5
TAAR3P	GNGT2
CEP135	MZT1
CEP135	KIAA1671
APBB1	APLP2
APBB1	DIAPH2
APBB1	CCT2
TPR	FOS
ZBTB32	KIAA1671
USP11	CCT2
TYSND1	TH
