#tail	head
TMEM33	RNF4
TMEM33	MYC
TMEM33	ERBB2
WNT6	TCF4
PIK3R1	MAP4K1
RNF4	VPS52
RNF4	STAT1
RNF4	TNPO3
SRC	ERBB2
SRC	PDHA1
RAB35	TCF3
LUC7L	ETS1
LUC7L	TCF3
ERBIN	MYC
ERBIN	ERBB2
STAT1	HDAC4
STAT1	ERBB2
ERBB4	HBEGF
ERBB4	ERBB2
ERBB4	PTPN4
KRT31	TAPBPL
MAP4K1	ETS1
IRF8	TAPBPL
SLC38A7	LMNA
SLC38A7	MYC
MYC	LMNA
MYC	ERBB2
MYC	GNPAT
MYC	TCF4
TOR2A	ZNF707
ARMC7	TNFAIP1
GNPAT	XPO1
POU5F1	TCF4
ERBB2	XPO1
TOR1AIP1	LMNA
TENT5A	ZFYVE9
TENT5A	CLCN7
EFNA1	FGR
TNPO3	PPP2CA
TNPO3	CLK3
MCM7	LMNA
LMNA	GRM2
LMNA	MCM2
TCF3	XPO1
XPO1	MCM2
TOMM70	ADRB2
TOMM70	MCM2
