#tail	head
TBP	HIST1H3G
TBP	PRKAA2
TBP	TAF7
TBP	HIST2H2AC
TBP	RUVBL2
TBP	TAF9B
TBP	SUPT3H
PRKAA2	FSD2
BET1	TMEM17
BET1	HGS
BET1	RABL6
BET1	DDX24
FSD2	HGS
HIST1H3G	WAPL
HIST1H3G	TADA3
HIST1H3G	SUPT3H
HIST1H3G	HIST1H2AL
HIST1H3G	RUVBL2
HIST1H3G	DDX24
HIST1H3G	HIST2H2AC
WAPL	RUVBL2
INO80C	RUVBL2
INO80C	TAF7
TMEM17	RABL6
TMEM17	HGS
DDX24	IFT57
TAF9B	TAF7
TAF9B	HIST2H2AC
TAF9B	HIST1H2AL
TAF9B	TADA3
TAF9B	SUPT3H
SUPT3H	TAF7
SUPT3H	TADA3
HGS	NEDD8
TAF7	TADA3
HIST1H2AL	NEDD8
HIST1H2AL	TADA3
HIST1H2AL	RUVBL2
NEDD8	WDTC1
HIST2H2AC	TADA3
HIST2H2AC	WDTC1
HIST2H2AC	RUVBL2
